,Title,Time,Artist,Date Added,Plays,Last Played,Skips,Last Skipped,Play-to-Skip Ratio
246,Affirmation,6:59,George Benson,6/4/2020,18,2/18/2021,21,12/26/2020,0.8571428571428571
290,Gimme All Your Lovin',4:00,ZZ Top,9/11/2019,12,12/10/2020,14,11/15/2020,0.8571428571428571
299,Walk Away,3:34,The James Gang,3/14/2019,10,2/17/2021,12,1/3/2021,0.8333333333333334
315,Get Up Stand Up,3:22,Bob Marley,4/3/2019,8,2/17/2021,12,12/28/2020,0.6666666666666666
317,Old Alabama,4:32,Brad Paisley,1/26/2019,8,9/23/2020,11,12/28/2020,0.7272727272727273
325,Could You Be Loved,4:00,Bob Marley,4/3/2019,7,12/10/2020,9,1/1/2021,0.7777777777777778
327,Barracuda (1977),4:24,Heart,3/14/2019,7,11/18/2020,9,12/14/2020,0.7777777777777778
330,Night Flight,3:38,Led Zeppelin,4/1/2019,7,11/12/2020,14,1/8/2021,0.5
331,Royal Orleans,2:58,Led Zeppelin,4/1/2019,7,5/21/2019,9,12/28/2020,0.7777777777777778
332,Don't ask me no questions,3:26,Lynyrd Skynyrd,3/20/2019,7,12/23/2020,10,12/20/2020,0.7
336,Sound of the Sea,5:29,Stick Figure,5/20/2020,7,5/28/2020,8,1/2/2021,0.875
337,Buffalo Soldier,4:21,Bob Marley,4/3/2019,6,1/7/2021,8,12/22/2020,0.75
341,Heartbreaker,7:24,Led Zeppelin,4/1/2019,6,12/21/2020,15,1/8/2021,0.4
342,Rock And Roll,3:41,Led Zeppelin,4/1/2019,6,1/1/2021,8,1/3/2021,0.75
344,Don't Look Back,6:01,Boston,4/1/2019,5,11/22/2020,8,1/7/2021,0.625
346,Change The World,3:58,Eric Clapton,4/3/2019,5,3/12/2020,9,12/26/2020,0.5555555555555556
348,Warm Waters,3:52,Iration,5/20/2020,5,11/15/2020,8,1/1/2021,0.625
349,All Your Love,3:37,John Mayall,9/13/2019,5,12/20/2020,7,11/15/2020,0.7142857142857143
350,We're Gonna Groove,2:39,Led Zeppelin,4/1/2019,5,8/25/2019,14,12/10/2020,0.35714285714285715
351,Bring It On Home,4:22,Led Zeppelin,4/1/2019,5,12/18/2020,6,2/17/2021,0.8333333333333334
354,The Journey,1:44,Boston,4/1/2019,4,12/2/2020,11,12/26/2020,0.36363636363636365
355,Te Bote Remix,7:03,"Casper, Nio García, Darell, Nicky Jam, Bad Bunny, Ozuna",8/30/2019,4,12/7/2020,15,2/17/2021,0.26666666666666666
357,Mi Gente,3:06,"J Balvin, Willy William",8/30/2019,4,2/8/2020,5,12/23/2020,0.8
358,Walter's Walk,4:31,Led Zeppelin,4/1/2019,4,4/17/2019,11,12/21/2020,0.36363636363636365
359,Dancing Days,3:42,Led Zeppelin,4/1/2019,4,4/3/2019,13,1/7/2021,0.3076923076923077
360,Since I've Been Loving You,8:02,Led Zeppelin,4/1/2019,4,5/20/2019,14,1/10/2021,0.2857142857142857
361,Communication Breakdown,2:28,Led Zeppelin,4/1/2019,4,12/2/2020,7,12/14/2020,0.5714285714285714
362,Living Loving Maid (She's Just A Woman),2:39,Led Zeppelin,4/1/2019,4,12/16/2020,9,12/21/2020,0.4444444444444444
363,Tangerine,3:11,Led Zeppelin,4/1/2019,4,2/17/2021,5,12/10/2020,0.8
364,Going To California,3:32,Led Zeppelin,4/1/2019,4,12/22/2020,7,12/12/2020,0.5714285714285714
365,Kashmir,8:28,Led Zeppelin,4/1/2019,4,12/7/2020,16,12/17/2020,0.25
366,You Shook Me All Night Long ,3:30,AC/DC,1/26/2019,3,12/22/2020,9,12/28/2020,0.3333333333333333
367,Is This Love,3:54,Bob Marley,4/3/2019,3,11/18/2020,9,1/5/2021,0.3333333333333333
368,More Than A Feeling,4:45,Boston,4/1/2019,3,12/7/2020,7,12/14/2020,0.42857142857142855
369,Hitch A Ride,4:12,Boston,4/1/2019,3,4/8/2019,10,12/7/2020,0.3
370,Something About You,3:48,Boston,4/1/2019,3,1/1/2021,7,12/16/2020,0.42857142857142855
371,Used To Bad News,2:57,Boston,4/1/2019,3,11/11/2020,10,2/17/2021,0.3
372,Ozone Baby,3:36,Led Zeppelin,4/1/2019,3,12/14/2020,6,12/28/2020,0.5
373,Dancing Days,3:46,Led Zeppelin,4/1/2019,3,4/13/2019,15,12/28/2020,0.2
374,Black Dog,5:40,Led Zeppelin,4/1/2019,3,12/14/2020,10,12/26/2020,0.3
375,All My Love,5:50,Led Zeppelin,4/1/2019,3,10/8/2020,10,2/17/2021,0.3
376,Heartbreaker,4:14,Led Zeppelin,4/1/2019,3,4/6/2019,8,1/8/2021,0.375
377,Immigrant Song,2:26,Led Zeppelin,4/1/2019,3,12/23/2020,10,1/10/2021,0.3
378,Since I've Been Loving You,7:23,Led Zeppelin,5/17/2019,3,12/16/2020,7,2/18/2021,0.42857142857142855
379,When The Levee Breaks,7:10,Led Zeppelin,4/1/2019,3,11/12/2020,6,12/19/2020,0.5
380,Boogie With Stu,3:53,Led Zeppelin,4/1/2019,3,10/26/2020,7,12/17/2020,0.42857142857142855
381,Sick Again,4:45,Led Zeppelin,4/1/2019,3,8/11/2019,14,2/17/2021,0.21428571428571427
382,Achilles Last Stand,10:23,Led Zeppelin,4/1/2019,3,4/13/2019,8,1/1/2021,0.375
383,Candy Store Rock,4:09,Led Zeppelin,4/1/2019,3,4/12/2019,9,12/7/2020,0.3333333333333333
384,Tea For One,9:26,Led Zeppelin,4/1/2019,3,11/18/2020,6,11/18/2020,0.5
387,Welcome to the Machine,7:27,Pink Floyd,1/10/2020,3,12/7/2020,8,2/17/2021,0.375
388,Three Little Birds,3:04,Bob Marley,4/3/2019,2,11/15/2020,9,12/16/2020,0.2222222222222222
389,Against the Wind,5:41,Bob Seger & The Silver Bullet Band,1/26/2019,2,8/13/2019,9,1/11/2021,0.2222222222222222
390,Susie Q,8:30,Creedence Clearwater Revival,9/11/2019,2,12/7/2020,11,11/14/2020,0.18181818181818182
391,Little Girl,2:37,John Mayall,9/13/2019,2,11/19/2020,9,12/26/2020,0.2222222222222222
392,Double Crossing Time,3:04,John Mayall,9/13/2019,2,9/23/2020,8,12/22/2020,0.25
393,I Can't Quit You Baby,4:18,Led Zeppelin,4/1/2019,2,4/12/2019,6,12/14/2020,0.3333333333333333
394,Hot Dog,3:16,Led Zeppelin,4/1/2019,2,5/29/2019,7,12/21/2020,0.2857142857142857
395,Thank You,4:48,Led Zeppelin,4/1/2019,2,4/26/2019,7,9/23/2020,0.2857142857142857
400,Tush,2:18,ZZ Top,9/11/2019,2,12/10/2020,15,2/21/2021,0.13333333333333333
401,Wonderful Tonight,3:42,Eric Clapton,4/3/2019,1,4/5/2019,12,12/16/2020,0.08333333333333333
402,Darlene,4:58,Led Zeppelin,4/1/2019,1,4/3/2019,13,1/3/2021,0.07692307692307693
403,Wearing And Tearing,5:31,Led Zeppelin,4/1/2019,1,4/5/2019,7,12/14/2020,0.14285714285714285
404,The Crunge,3:15,Led Zeppelin,4/1/2019,1,4/13/2019,9,12/26/2020,0.1111111111111111
405,Immigrant Song,3:42,Led Zeppelin,4/1/2019,1,4/1/2019,13,11/13/2020,0.07692307692307693
406,In The Evening,6:50,Led Zeppelin,4/1/2019,1,8/11/2019,10,1/8/2021,0.1
407,Four Sticks,4:40,Led Zeppelin,4/1/2019,1,4/5/2019,12,12/19/2020,0.08333333333333333
408,I Don't Know (Remastered),5:17,Ozzy Osbourne,6/18/2019,1,1/15/2020,7,12/20/2020,0.14285714285714285
409,Dogs,17:05,Pink Floyd,1/10/2020,1,1/12/2020,8,12/26/2020,0.125
410,Stairway To Heaven,8:01,Led Zeppelin,4/1/2019,0,01/01/1000,16,1/2/2021,0.0
411,In The Light,8:43,Led Zeppelin,4/10/2019,0,01/01/1000,10,12/23/2020,0.0
